Omnitracs, LLC;;;;;;;;;;;
;;;;;;;;;;;
Data/hora de impressão:  4/7/2025 14:42;;;;;;;;;;Página 1 de 40;
Resumo do Formulário Personalizado;;;;;;;;;;;
;;;;;;;;;;;
Região:  BR10 - BR10;;;;;;;;;;;
;;;;;;;;;;;
1/1/2025  - 3/31/2025 ;;;;;;;;;;;
;;;;;;;;;;;
Agrupar por:  Motorista;;;;;;;;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;Motorista:  , CLEBER;;;;;;;;;;
;;;;;;;;;;;
;;Cliente tem oportunidade de recolha?;;;;;Respostas;% de Respostas;;;
;;;;;;;;;;;
;;;False;;;53;100,0%;;████████████████████;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Quais produtos?;;;;;Respostas;% de Respostas;;;
;;;;;;;;;;;
;;;0;;;2;3,8%;;█;;
;;;n;;;3;5,7%;;█;;
;;;nh;;;47;88,7%;;██████████████████;;
;;;o;;;1;1,9%;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Qual a quantidade?;;;;;Respostas;% de Respostas;;;
;;;;;;;;;;;
;;;0,00;;;53;100,0%;;████████████████████;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Qual o nome do responsável?;;;;;Respostas;% de Respostas;;;
;;;;;;;;;;;
;;;0;;;1;1,9%;;;;
;;;n;;;3;5,7%;;█;;
;;;nh;;;46;86,8%;;█████████████████;;
;;;nnh;;;1;1,9%;;;;
;;;ny;;;1;1,9%;;;;
;;;o;;;1;1,9%;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Qual o contato do responsável?;;;;;Respostas;% de Respostas;;;
;;;;;;;;;;;
;;;mh;;;1;2,4%;;;;
;;;n;;;4;9,5%;;██;;
;;;ng;;;1;2,4%;;;;
;;;nh;;;36;85,7%;;█████████████████;;
;;;;;;;;;;;
;Motorista:  Carvalho, Gilberto;;;;;;;;;;
;;;;;;;;;;;
;;Cliente tem oportunidade de recolha?;;;;Respostas;% de Respostas;;;;
;;;;;;;;;;;
;;;False;;;141;94,6%;;███████████████████;;
;;;True;;;8;5,4%;;█;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Quais produtos?;;;;Respostas;% de Respostas;;;;
;;;;;;;;;;;
;;;.;;;5;3,4%;;█;;
;;;0;;;135;90,6%;;██████████████████;;
;;;argônio;;;1;0,7%;;;;
;;;Helix;;;1;0,7%;;;;
;;;Helix recolhido;;;1;0,7%;;;;
;;;Oxigênio;;;1;0,7%;;;;
;;;oxigênio acetileno;;;2;1,3%;;;;
;;;Oxigênio Acetileno Argônio;;;1;0,7%;;;;
;;;oxigênio argônio;;;1;0,7%;;;;
;;;Suremix;;;1;0,7%;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Qual a quantidade?;;;;Respostas;% de Respostas;;;;
;;;;;;;;;;;
;;;0,00;;;142;95,3%;;███████████████████;;
;;;1,00;;;2;1,3%;;;;
;;;2,00;;;1;0,7%;;;;
;;;20,00;;;1;0,7%;;;;
;;;30,00;;;2;1,3%;;;;
;;;4,00;;;1;0,7%;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Qual o nome do responsável?;;;;Respostas;% de Respostas;;;;
;;;;;;;;;;;
;;;.;;;126;84,6%;;█████████████████;;
;;;0;;;19;12,8%;;███;;
;;;Gabrielle Gobbo;;;1;0,7%;;;;
;;;Renato;;;1;0,7%;;;;
;;;Robert;;;1;0,7%;;;;
;;;Thiago;;;1;0,7%;;;;
;;;;;;;;;;;
;;;;;;;;;;;
;;Qual o contato do responsável?;;;;Respostas;% de Respostas;;;;
;;;;;;;;;;;
;;;.;;;96;95,0%;;███████████████████;;
;;;0;;;3;3,0%;;█;;
;;;16997849792;;;1;1,0%;;;;
;;;Recolhido;;;1;1,0%;;;;
;;;;;;;;;;;
;Motorista:  Carvalho, Jorge Luiz;;;;;;;;;;
;;;;;;;;;;;
;;Cliente tem oportunidade de recolha?;;;;Respostas;% de Respostas;;;;
;;;;;;;;;;;
